ps3_name,auto,naegles,final_choice,status
001a,NO_MATCH,gk3,gk3,NAEGLES
001b,NO_MATCH,gk3,gk3,NAEGLES
002a,NO_MATCH,m_hi3,m_hi3,NAEGLES
002b,NO_MATCH,m_hi3,m_hi3,NAEGLES
003,NO_MATCH,bg_210,bg_210,NAEGLES
004,NO_MATCH,m_hi4,m_hi4,NAEGLES
004b,NO_MATCH,m_hi4,m_hi4,NAEGLES
006,NO_MATCH,mati_o1,mati_o1,NAEGLES
008,NO_MATCH,gk3,gk3,NAEGLES
009b,NO_MATCH,mati2,mati2,NAEGLES
010,NO_MATCH,bg_210,bg_210,NAEGLES
011d,NO_MATCH,jyt1,jyt1,NAEGLES
011e,NO_MATCH,jyt1,jyt1,NAEGLES
011f,NO_MATCH,jyt1,jyt1,NAEGLES
025,NO_MATCH,bg_031,bg_031,NAEGLES
029,NO_MATCH,jsa3,jsa3,NAEGLES
031,NO_MATCH,ma_j3,ma_j3,NAEGLES
033a,NO_MATCH,ma_g3,ma_g3,NAEGLES
033b,NO_MATCH,ma_g3,ma_g3,NAEGLES
033c,NO_MATCH,ma_g3,ma_g3,NAEGLES
033d,NO_MATCH,ma_g3,ma_g3,NAEGLES
038a,NO_MATCH,bg_071,bg_071,NAEGLES
038b,NO_MATCH,bg_071,bg_071,NAEGLES
038c,NO_MATCH,bg_071,bg_071,NAEGLES
043a,NO_MATCH,gk1,gk1,NAEGLES
043b,NO_MATCH,gk1,gk1,NAEGLES
046,NO_MATCH,oki_g3,oki_g3,NAEGLES
07thlogo,NO_MATCH,07thlogo,07thlogo,NAEGLES
101,NO_MATCH,hi6,hi6,NAEGLES
102,NO_MATCH,m_hi3,m_hi3,NAEGLES
103a,NO_MATCH,bg_247,bg_247,NAEGLES
103b,NO_MATCH,bg_247,bg_247,NAEGLES
104,NO_MATCH,ma_j2,ma_j2,NAEGLES
105a,NO_MATCH,ma_g1,ma_g1,NAEGLES
105b,NO_MATCH,ma_g1,ma_g1,NAEGLES
106,NO_MATCH,jsa3,jsa3,NAEGLES
107a,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
107b,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
107c,NO_MATCH,sinryo_sinsatu1,sinryo_sinsatu1,NAEGLES
108,NO_MATCH,gk3,gk3,NAEGLES
109b,NO_MATCH,oki_g3,oki_g3,NAEGLES
109e,NO_MATCH,oki_g3,oki_g3,NAEGLES
110a,NO_MATCH,ji4,ji4,NAEGLES
110b,NO_MATCH,ji4,ji4,NAEGLES
111a,NO_MATCH,ma2,ma2,NAEGLES
111b,NO_MATCH,ma2,ma2,NAEGLES
113a,NO_MATCH,ji2,ji2,NAEGLES
113b,NO_MATCH,ji2,ji2,NAEGLES
114,NO_MATCH,t_ep8,t_ep8,NAEGLES
115,NO_MATCH,ji4,ji4,NAEGLES
2,NO_MATCH,2,2,NAEGLES
201a,NO_MATCH,m_hi9,m_hi9,NAEGLES
201b,NO_MATCH,m_hi9,m_hi9,NAEGLES
201c,NO_MATCH,black,black,NAEGLES
202,NO_MATCH,jt1,jt1,NAEGLES
203a,NO_MATCH,ima2,ima2,NAEGLES
203b,NO_MATCH,ima2,ima2,NAEGLES
3,NO_MATCH,3,3,NAEGLES
4,NO_MATCH,4,4,NAEGLES
5,NO_MATCH,5,5,NAEGLES
aa,NO_MATCH,aa,aa,NAEGLES
aka1,aka1,aka1,aka1,IDENTICAL
aka2,aka2,aka2,aka2,IDENTICAL
alphaimage,NO_MATCH,…,…,NAEGLES
basu_soukou,eki2,NO_MATCH,eki2,AUTOMATIC
bg_089_mo,NO_MATCH,ke5,ke5,NAEGLES
bg_161,NO_MATCH,re1,re1,NAEGLES
bg_226,NO_MATCH,bg_226,bg_226,NAEGLES
bg_235,NO_MATCH,bg_235,bg_235,NAEGLES
bg_246b,NO_MATCH,bg_246,bg_246,NAEGLES
black,NO_MATCH,black,black,NAEGLES
byo_01,sinryo_sinsatu1,sinryo_sinsatu1,sinryo_sinsatu1,IDENTICAL
byo_ten,ke6,NO_MATCH,ke6,AUTOMATIC
c,NO_MATCH,c,c,NAEGLES
centerblind,NO_MATCH,centerblind,centerblind,NAEGLES
chika_rouka,sr_2,NO_MATCH,sr_2,AUTOMATIC
chika_sekyurithi,torakku2,NO_MATCH,torakku2,AUTOMATIC
chika_shisetsu,ko1,NO_MATCH,ko1,AUTOMATIC
cinema,NO_MATCH,cinema,cinema,NAEGLES
damu2,damu2,damu2,damu2,IDENTICAL
damu4,damu3,bg_004,bg_004,CONTRADICTORY
damu4_01,NO_MATCH,bg_004,bg_004,NAEGLES
denwa,denwa,denwa,denwa,IDENTICAL
down,NO_MATCH,down,down,NAEGLES
e1,NO_MATCH,…,…,NAEGLES
eki,bg_012,bg_012,bg_012,IDENTICAL
end,NO_MATCH,end,end,NAEGLES
end_1,NO_MATCH,end_1,end_1,NAEGLES
end_1_j,NO_MATCH,end_1_j,end_1_j,NAEGLES
end_2,NO_MATCH,end_2,end_2,NAEGLES
end_2_j,NO_MATCH,end_2_j,end_2_j,NAEGLES
end_3,NO_MATCH,end_3,end_3,NAEGLES
end_3_j,NO_MATCH,end_3_j,end_3_j,NAEGLES
ex_jump,NO_MATCH,ex_jump,ex_jump,NAEGLES
ex_otsu,NO_MATCH,ex_otsu,ex_otsu,NAEGLES
ex_otsu_hima,NO_MATCH,ex_otsu_hima,ex_otsu_hima,NAEGLES
ex_otsu_tata,NO_MATCH,ex_otsu_tata,ex_otsu_tata,NAEGLES
ex_otsu_wata,NO_MATCH,ex_otsu_wata,ex_otsu_wata,NAEGLES
ex_tips,NO_MATCH,ex_tips,ex_tips,NAEGLES
eye,NO_MATCH,bg_018,bg_018,NAEGLES
file,file,simen2,simen2,CONTRADICTORY
fure1,fure1,NO_MATCH,fure1,AUTOMATIC
fure2,fure2,NO_MATCH,fure2,AUTOMATIC
furiker_a,f_a,furiker_a,furiker_a,CONTRADICTORY
furiker_b,f_b,furiker_b,furiker_b,CONTRADICTORY
furiker_c,bg0,furiker_a,furiker_a,CONTRADICTORY
g1,g1,g1,g1,IDENTICAL
g1_01,g1,g1,g1,IDENTICAL
g2,g2,g2,g2,IDENTICAL
g2_01,g2,g2,g2,IDENTICAL
g3,g3,g3,g3,IDENTICAL
g3_01,g3,g3,g3,IDENTICAL
ga1,ga1,NO_MATCH,ga1,AUTOMATIC
gk1,gk1,gk1,gk1,IDENTICAL
gk1_01,gk1,gk1,gk1,IDENTICAL
gk3,gk2,gk2,gk2,IDENTICAL
gr1,gr1,gr1,gr1,IDENTICAL
gr1_01,gr1,NO_MATCH,gr1,AUTOMATIC
gr2,gr2,gr2,gr2,IDENTICAL
gr2_01,gr2,gr2,gr2,IDENTICAL
gr3,gr3,gr3,gr3,IDENTICAL
gry2,gry1,NO_MATCH,gry1,AUTOMATIC
gy3_01,gy3,gr3,gr3,CONTRADICTORY
gy7,gy1,NO_MATCH,gy1,AUTOMATIC
haikei,NO_MATCH,haikei,haikei,NAEGLES
haikei-,NO_MATCH,haikei,haikei,NAEGLES
hasi1,bg_029,bg_029,bg_029,IDENTICAL
hasi3,bg_032,bg_032,bg_032,IDENTICAL
heri_gunji_01,heri1,NO_MATCH,heri1,AUTOMATIC
heya1,heya2,heya2,heya2,IDENTICAL
heya1_04,ima3,heya2,heya2,CONTRADICTORY
heya1_05,heya1,heya2,heya2,CONTRADICTORY
heya6,heya6,NO_MATCH,heya6,AUTOMATIC
hi1,hi2,hi1,hi1,CONTRADICTORY
hi1_01,hi1,hi1,hi1,IDENTICAL
hi3,hi3,hi3,hi3,IDENTICAL
hi4,hi4,hi4,hi4,IDENTICAL
hi4_01,hi4,hi4,hi4,IDENTICAL
hi5,hi5,hi5,hi5,IDENTICAL
hi5_01,hi5,hi5,hi5,IDENTICAL
hi9,hi9,hi9,hi9,IDENTICAL
hi_scroll,mura2,m_hi4,m_hi4,CONTRADICTORY
hi_scroll_01,mura2,m_hi4,m_hi4,CONTRADICTORY
ho1,ho1_houjouke,ho1_houjouke,ho1_houjouke,IDENTICAL
ho1_01,ho2_houjouke,NO_MATCH,ho2_houjouke,AUTOMATIC
ho1_02,ho1_houjouke,ho1_houjouke,ho1_houjouke,IDENTICAL
ho_2,ho_2,bg_057,bg_057,CONTRADICTORY
ho_r1,ho_r1,ho_r1,ho_r1,IDENTICAL
honoo,NO_MATCH,red,red,NAEGLES
hoteru,hoteru,hoteru,hoteru,IDENTICAL
hu2,hu1,NO_MATCH,hu1,AUTOMATIC
hu2_01,hu1,NO_MATCH,hu1,AUTOMATIC
hu_ima,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
hu_r1,hu_r1,hu_r1,hu_r1,IDENTICAL
hu_r4,hu_r4,NO_MATCH,hu_r4,AUTOMATIC
hu_tenjyou,ma_j3,ma_j3,ma_j3,IDENTICAL
ie1,ie1,ie1,ie1,IDENTICAL
ie1_01,ie2,ie1,ie1,CONTRADICTORY
ima1,ima1,ima1,ima1,IDENTICAL
ima3,heya4,ima3,ima3,CONTRADICTORY
jansou,bg_071,bg_071,bg_071,IDENTICAL
jd4,jd4,jd4,jd4,IDENTICAL
jd4_01,jd4,jd4,jd4,IDENTICAL
je1,je1,je1,je1,IDENTICAL
je2,je4,je3,je3,CONTRADICTORY
ji1,ji1,ji1,ji1,IDENTICAL
ji1_01,ji5,ji1,ji1,CONTRADICTORY
ji2,ji2,ji2,ji2,IDENTICAL
ji2_01,ji2,ji2,ji2,IDENTICAL
ji6,ji6,bg_079,bg_079,CONTRADICTORY
jok1,jok1,jok1,jok1,IDENTICAL
jok2,jok2,jok2,jok2,IDENTICAL
js1,bg_079,bg_079,bg_079,IDENTICAL
js1_01,ji5,bg_079,bg_079,CONTRADICTORY
js3,js3,jsa2,jsa2,CONTRADICTORY
js3_01,jsa2,jsa2,jsa2,IDENTICAL
js4,js4,NO_MATCH,js4,AUTOMATIC
js4_01,js4,ima3,ima3,CONTRADICTORY
js4_02,js4,NO_MATCH,js4,AUTOMATIC
jsa1,jsa1,jsa1,jsa1,IDENTICAL
jsa7,jsa7,jsa2,jsa2,CONTRADICTORY
jsa7_01,jsa4,jsa2,jsa2,CONTRADICTORY
jt1,jt1,hi6,hi6,CONTRADICTORY
jt1_01,haikei,hi6,hi6,CONTRADICTORY
jt2,jt2,jt2,jt2,IDENTICAL
jt2_01,jt2,jt2,jt2,IDENTICAL
juku1_01,juku1,juku1,juku1,IDENTICAL
jy1,jy1,jy1,jy1,IDENTICAL
jy2,jy2,jy2,jy2,IDENTICAL
jys1,js1,jy1,jy1,CONTRADICTORY
jysa1,jysa1,jysa1,jysa1,IDENTICAL
jyt1,jyt1,jyt1,jyt1,IDENTICAL
jyt2,jyt2,jyt2,jyt2,IDENTICAL
k_kouen1,kouen,NO_MATCH,kouen,AUTOMATIC
k_kouen1_01,kouen,NO_MATCH,kouen,AUTOMATIC
k_oyashiro,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
k_ten2,ho1_tokyo,NO_MATCH,ho1_tokyo,AUTOMATIC
ka1_01,ka2,NO_MATCH,ka2,AUTOMATIC
ka4,ka1,NO_MATCH,ka1,AUTOMATIC
kai_jyun,ke_s3,NO_MATCH,ke_s3,AUTOMATIC
kai_ten,ke_s3,NO_MATCH,ke_s3,AUTOMATIC
kakera,kakera3,NO_MATCH,kakera3,AUTOMATIC
kawa1,kawa1,kawa1,kawa1,IDENTICAL
kawa4,bg_005,bg_087,bg_087,CONTRADICTORY
ke1,ke1,bg_091,bg_091,CONTRADICTORY
ke1_01,ke1,NO_MATCH,ke1,AUTOMATIC
ke2,ke2,ke2,ke2,IDENTICAL
ke5,ke5,ke5,ke5,IDENTICAL
ke_ky1,ke_ky1,ke_ky1,ke_ky1,IDENTICAL
ke_ky2,tosyo7,ke_ky2,ke_ky2,CONTRADICTORY
ke_robbie,ke_r1,NO_MATCH,ke_r1,AUTOMATIC
ke_s2,ke_s1,ke_s1,ke_s1,IDENTICAL
ke_shiryou1_02,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
kimi_o1_08,terebi1,terebi1,terebi1,IDENTICAL
koudou,mati16,NO_MATCH,mati16,AUTOMATIC
koya1,koya2,NO_MATCH,koya2,AUTOMATIC
koya1_02,koya1,bg_097,bg_097,CONTRADICTORY
kukou1,NO_MATCH,bg_099,bg_099,NAEGLES
kuruma1,kuruma1,kuruma1,kuruma1,IDENTICAL
kuruma1_02,kuruma1,kuruma1,kuruma1,IDENTICAL
kuruma2,kuruma2,kuruma2,kuruma2,IDENTICAL
kuruma2_01,kuruma2,kuruma2,kuruma2,IDENTICAL
kuruma2_02,kuruma2,kuruma2,kuruma2,IDENTICAL
kuruma3,m_hi9,kuruma3,kuruma3,CONTRADICTORY
kuruma3_01,kuruma3,kuruma3,kuruma3,IDENTICAL
kuruma3_02,kuruma3,kuruma3,kuruma3,IDENTICAL
kuruma4,kuruma4,kuruma4,kuruma4,IDENTICAL
kuruma4_01,kuruma4,kuruma4,kuruma4,IDENTICAL
kuruma5,kuruma5,kuruma5,kuruma5,IDENTICAL
kuruma5_01,bg_106,bg_106,bg_106,IDENTICAL
kuruma5_02,kuruma8,NO_MATCH,kuruma8,AUTOMATIC
kuruma5_03,kuruma5,kuruma5,kuruma5,IDENTICAL
kuruma5_04,kuruma4,NO_MATCH,kuruma4,AUTOMATIC
kuruma5_05,kuruma5,NO_MATCH,kuruma5,AUTOMATIC
kuruma6,kuruma6,kuruma6,kuruma6,IDENTICAL
left,NO_MATCH,left,left,NAEGLES
logo,NO_MATCH,logo,logo,NAEGLES
logo_j,NO_MATCH,logo_j,logo_j,NAEGLES
logomask,NO_MATCH,logomask,logomask,NAEGLES
m1,NO_MATCH,m1,m1,NAEGLES
m_hi1,m_hi1,m_hi1,m_hi1,IDENTICAL
m_hi1_01,m_hi1,m_hi1,m_hi1,IDENTICAL
m_hi3,m_hi3,m_hi3,m_hi3,IDENTICAL
m_hi3_01,m_hi3,m_hi3,m_hi3,IDENTICAL
m_hi4,m_hi4,m_hi4,m_hi4,IDENTICAL
m_hi4_01,m_hi4,m_hi4,m_hi4,IDENTICAL
m_hi5,m_hi5,m_hi5,m_hi5,IDENTICAL
m_hi5_01,m_hi5,m_hi5,m_hi5,IDENTICAL
m_hi6,m_hi6,m_hi6,m_hi6,IDENTICAL
m_hi6_01,m_hi6,m_hi6,m_hi6,IDENTICAL
m_hi8,m_hi8,m_hi8,m_hi8,IDENTICAL
m_y1,m_y1,m_y1,m_y1,IDENTICAL
m_y2,m_y2,m_y2,m_y2,IDENTICAL
m_y2_02,mati5,m_y2,m_y2,CONTRADICTORY
m_y2_04,m_y2,m_y2,m_y2,IDENTICAL
m_y4,m_y4,m_y4,m_y4,IDENTICAL
