ps3_name,auto,naegles,final_choice,status
m_y4_01,NO_MATCH,m_y4,m_y4,NAEGLES
m_y4_04,m_y4,NO_MATCH,m_y4,AUTOMATIC
m_y7,m_y5,m_y7,m_y7,CONTRADICTORY
ma1,ma1,ma1,ma1,IDENTICAL
ma1_01,ma1,ma1,ma1,IDENTICAL
ma1_02,ma1,ma1,ma1,IDENTICAL
ma2,ma2,ma2,ma2,IDENTICAL
ma2_01,ma2,ma2,ma2,IDENTICAL
ma3,ma3,ma3,ma3,IDENTICAL
ma3_01,ma3,ma3,ma3,IDENTICAL
ma3_02,ma4,ma3,ma3,CONTRADICTORY
ma5,ma5,ma5,ma5,IDENTICAL
ma5_01,ma5,ma5,ma5,IDENTICAL
ma_d1,ma_d1,ma_d1,ma_d1,IDENTICAL
ma_d1_01,NO_MATCH,ma_d1,ma_d1,NAEGLES
ma_g1,ma_g1,ma_g1,ma_g1,IDENTICAL
ma_g1_01,ma_g1,ma_g1,ma_g1,IDENTICAL
ma_g2,ma_g2,ma_g2,ma_g2,IDENTICAL
ma_g3,ma_g3,NO_MATCH,ma_g3,AUTOMATIC
ma_g3_01,ma_g3,ma_g3,ma_g3,IDENTICAL
ma_g3_02,ma2,ma_g3,ma_g3,CONTRADICTORY
ma_j3,ma_j1,ma_j2,ma_j2,CONTRADICTORY
ma_j3_01,ma_j1,ma_j2,ma_j2,CONTRADICTORY
ma_j3_03,NO_MATCH,ma_j2,ma_j2,NAEGLES
ma_j3_05,ma_j2,ma_j2,ma_j2,IDENTICAL
ma_s1,ribing1,bg_210,bg_210,CONTRADICTORY
ma_s1_01,ma_s1,NO_MATCH,ma_s1,AUTOMATIC
mangagamer,NO_MATCH,mangagamer,mangagamer,NAEGLES
mask1013,NO_MATCH,mask1013,mask1013,NAEGLES
mask1014,NO_MATCH,mask1014,mask1014,NAEGLES
mask1020,NO_MATCH,mask1020,mask1020,NAEGLES
mask_1900,NO_MATCH,mask_1900,mask_1900,NAEGLES
mati12,mati12,mati12,mati12,IDENTICAL
mati2,mati2,mati2,mati2,IDENTICAL
mati2_01,mati6,NO_MATCH,mati6,AUTOMATIC
mati2_04,mati14,NO_MATCH,mati14,AUTOMATIC
mati3,mati3,mati3,mati3,IDENTICAL
mati3_01,mati3,NO_MATCH,mati3,AUTOMATIC
mati3_04,mati9,NO_MATCH,mati9,AUTOMATIC
mati4,mati4,mati4,mati4,IDENTICAL
mati4_01,kouen,NO_MATCH,kouen,AUTOMATIC
mati4_04,mati15,NO_MATCH,mati15,AUTOMATIC
mati7,bg_237,mati7,mati7,CONTRADICTORY
mati_ji1,mati_ji2,NO_MATCH,mati_ji2,AUTOMATIC
mati_o1,mati_o1,mati_o1,mati_o1,IDENTICAL
mati_o1_01,mati_o1,NO_MATCH,mati_o1,AUTOMATIC
mati_o2,mati_o2,bg_155,bg_155,CONTRADICTORY
mati_o4,mati_o5,mati_o4,mati_o4,CONTRADICTORY
mati_o6,mati_o6,mati_o6,mati_o6,IDENTICAL
mo1,mo1,mo1,mo1,IDENTICAL
mo1_01,mo1,mo1,mo1,IDENTICAL
mo1_02,mo1,ymo1,ymo1,CONTRADICTORY
mo2,mo2,mo1,mo1,CONTRADICTORY
mo2_01,mo2,mo1,mo1,CONTRADICTORY
mo2_02,mo2,ymo1,ymo1,CONTRADICTORY
mo3,mo3,mo3,mo3,IDENTICAL
mo3_01,mo3,mo3,mo3,IDENTICAL
mo3_02,mo3,ymo3,ymo3,CONTRADICTORY
mo4,mo4,mo4,mo4,IDENTICAL
mo4_01,mo4,mo4,mo4,IDENTICAL
mo4_02,mo4,bg_144_mo1,bg_144_mo1,CONTRADICTORY
mo4_04,mo4,NO_MATCH,mo4,AUTOMATIC
mo4_05,NO_MATCH,mo4,mo4,NAEGLES
mo_b1,sora,m_hi9,m_hi9,CONTRADICTORY
mo_g1,mo_g1,mo_g1,mo_g1,IDENTICAL
mo_g1_01,mo_g1,mo_g1,mo_g1,IDENTICAL
mo_g2,mo_g2,mo_g2,mo_g2,IDENTICAL
mo_g2_01,mo_g2,mo_g2,mo_g2,IDENTICAL
mo_g3_01,mo_g4,bg_006,bg_006,CONTRADICTORY
mo_r1,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
mo_r1_01,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
mo_r1_02,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
mo_r1_03,mo_r1,NO_MATCH,mo_r1,AUTOMATIC
mo_yg1,mo_yg4,NO_MATCH,mo_yg4,AUTOMATIC
mob1_01,mo_b1,NO_MATCH,mo_b1,AUTOMATIC
moon,moon,moon,moon,IDENTICAL
moon_01,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
negative/fure1,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
neki1_02,mati14,NO_MATCH,mati14,AUTOMATIC
no_data,NO_MATCH,no_data,no_data,NAEGLES
nort,nort,simen2,simen2,CONTRADICTORY
ohaka_02,so3,NO_MATCH,so3,AUTOMATIC
oki_g3,oki_g3,oki_g3,oki_g3,IDENTICAL
oni1,oni2,oni1,oni1,CONTRADICTORY
oyashirosama,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
re_g1,re_g1,NO_MATCH,re_g1,AUTOMATIC
re_h1,re_h1,NO_MATCH,re_h1,AUTOMATIC
re_h3,re_h3,NO_MATCH,re_h3,AUTOMATIC
re_s2,re_s2_rena,NO_MATCH,re_s2_rena,AUTOMATIC
re_s4,re_s4,NO_MATCH,re_s4,AUTOMATIC
re_s4_01,re_s3,NO_MATCH,re_s3,AUTOMATIC
re_tel,re_tel,NO_MATCH,re_tel,AUTOMATIC
red,NO_MATCH,red,red,NAEGLES
res1,re1,re3,re3,CONTRADICTORY
res1_01,re1,re3,re3,CONTRADICTORY
res2,re2,re2,re2,IDENTICAL
res4,re4,re4,re4,IDENTICAL
res4_01,re4,re4,re4,IDENTICAL
res5,re5,re5,re5,IDENTICAL
res5_01,re5,re5,re5,IDENTICAL
res_s1,re_s1_resut,bg_168,bg_168,CONTRADICTORY
res_s1_01,re_s2_resut,bg_168,bg_168,CONTRADICTORY
right,NO_MATCH,right,right,NAEGLES
rouka1,rouka1,rouka1,rouka1,IDENTICAL
rouka1_01,rouka2,NO_MATCH,rouka2,AUTOMATIC
rouka1_02,rouka3,NO_MATCH,rouka3,AUTOMATIC
ryoutei2_01,ryoutei2,ima1,ima1,CONTRADICTORY
ryuuketu1,ryuuketu1,ryuuketu1,ryuuketu1,IDENTICAL
s_jump_back,NO_MATCH,s_jump_back,s_jump_back,NAEGLES
saiguden_01,jsa3,jsa4,jsa4,CONTRADICTORY
saiguden_02,jsa3,jsa4,jsa4,CONTRADICTORY
saten1,saten1,NO_MATCH,saten1,AUTOMATIC
saten2,saten2,NO_MATCH,saten2,AUTOMATIC
scenario_a,NO_MATCH,scenario_a,scenario_a,NAEGLES
scenario_b,NO_MATCH,scenario_b,scenario_b,NAEGLES
scenario_b_j,NO_MATCH,scenario_b_j,scenario_b_j,NAEGLES
scenario_c,NO_MATCH,scenario_c,scenario_c,NAEGLES
scenario_c_j,NO_MATCH,scenario_c_j,scenario_c_j,NAEGLES
si_g1,si_h1,NO_MATCH,si_h1,AUTOMATIC
si_h2,si_h2,NO_MATCH,si_h2,AUTOMATIC
si_h2_01,si_h2,NO_MATCH,si_h2,AUTOMATIC
si_h3,si_h3,NO_MATCH,si_h3,AUTOMATIC
si_h6,si_h6,NO_MATCH,si_h6,AUTOMATIC
si_mansion,si_g2,NO_MATCH,si_g2,AUTOMATIC
sil1a,NO_MATCH,jsa3,jsa3,NAEGLES
simen3,simen2,bg_182,bg_182,CONTRADICTORY
sinryou_matiai1,sinryo_matiai1,sinryo_matiai1,sinryo_matiai1,IDENTICAL
sinryou_matiai1_01,sinryo_matiai1,sinryo_matiai1,sinryo_matiai1,IDENTICAL
sinryou_sinsatu1,sinryo_sinsatu1,sinryo_sinsatu1,sinryo_sinsatu1,IDENTICAL
sinryou_sinsatu1_02,sinryo_sinsatu1,sinryo_sinsatu1,sinryo_sinsatu1,IDENTICAL
sinryou_sinsatu2,sinryo_sinsatu2,sinryo_sinsatu1,sinryo_sinsatu1,CONTRADICTORY
sinryou_sinsatu3,sinryo_sinsatu3,NO_MATCH,sinryo_sinsatu3,AUTOMATIC
sinryou_sinsatu3_01,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
sinryou_sinsatu4,sinryo_sinsatu4,ke5,ke5,CONTRADICTORY
sinryou_soto1,sinryo_soto2,sinryo_soto1,sinryo_soto1,CONTRADICTORY
sinryou_soto1_01,sinryo_soto1,sinryo_soto1,sinryo_soto1,IDENTICAL
sinryou_soto1_02,sinryo_soto1,sinryo_soto1,sinryo_soto1,IDENTICAL
sinryou_soto3,sinryo_soto2,sinryo_soto2,sinryo_soto2,IDENTICAL
sinryou_soto3_01,sinryo_soto3,NO_MATCH,sinryo_soto3,AUTOMATIC
so1,so1,so1,so1,IDENTICAL
so1_02,so1,so1,so1,IDENTICAL
so2,so2,so2,so2,IDENTICAL
so2_01,NO_MATCH,so2,so2,NAEGLES
so3,so3,so3,so3,IDENTICAL
so5,so5,NO_MATCH,so5,AUTOMATIC
so6,so3,NO_MATCH,so3,AUTOMATIC
so_chikafuroa,jsa6,jsa4,jsa4,CONTRADICTORY
so_chikaido1,jsa7,NO_MATCH,jsa7,AUTOMATIC
so_chikasaishinbu,jsa9,NO_MATCH,jsa9,AUTOMATIC
so_d1,so_d1,so_d1,so_d1,IDENTICAL
so_d1_01,so_d1,so_d1,so_d1,IDENTICAL
so_g1,so_g1,so_g1,so_g1,IDENTICAL
so_k1,so_k1,so_k1,so_k1,IDENTICAL
sora,sora,sora2,sora2,CONTRADICTORY
sora1,NO_MATCH,sora2,sora2,NAEGLES
sora2,sora2,sora3,sora3,CONTRADICTORY
sora5,sora3,sora3,sora3,IDENTICAL
sora6,sora6,sora3,sora3,CONTRADICTORY
sora_01,gy7,NO_MATCH,gy7,AUTOMATIC
staff01,NO_MATCH,staff01,staff01,NAEGLES
susuki,kusa,kusa,kusa,IDENTICAL
ta1,bg_214,bg_214,bg_214,IDENTICAL
ta2,ta2_mura,ta2_mura,ta2_mura,IDENTICAL
ta3_01,ta2_mura,NO_MATCH,ta2_mura,AUTOMATIC
ta_tel_02,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
tata_jisitu01,NO_MATCH,tata_jisitu01,tata_jisitu01,NAEGLES
tata_jisitu02,NO_MATCH,tata_jisitu02,tata_jisitu02,NAEGLES
tata_jisitu03,NO_MATCH,tata_jisitu03,tata_jisitu03,NAEGLES
tata_kuruma01,NO_MATCH,tata_kuruma01,tata_kuruma01,NAEGLES
tata_kuruma02,NO_MATCH,tata_kuruma02,tata_kuruma02,NAEGLES
tata_kuruma03,NO_MATCH,tata_kuruma03,tata_kuruma03,NAEGLES
tata_kuruma04,NO_MATCH,tata_kuruma04,tata_kuruma04,NAEGLES
tata_kuruma05,NO_MATCH,tata_kuruma05,tata_kuruma05,NAEGLES
tata_kuruma06,NO_MATCH,tata_kuruma06,tata_kuruma06,NAEGLES
tata_kuruma07,NO_MATCH,tata_kuruma07,tata_kuruma07,NAEGLES
tata_sato01,NO_MATCH,tata_sato01,tata_sato01,NAEGLES
tegami1,bg_219,bg_219,bg_219,IDENTICAL
tegami2,bg_220,bg_220,bg_220,IDENTICAL
tegami3,bg_221,bg_221,bg_221,IDENTICAL
tennai1,tennai1,tennai1,tennai1,IDENTICAL
tirasi1,tirasi1,NO_MATCH,tirasi1,AUTOMATIC
title02,NO_MATCH,title02,title02,NAEGLES
title02_j,NO_MATCH,title_j,title_j,NAEGLES
tk_dojo,jimu1,NO_MATCH,jimu1,AUTOMATIC
tk_mo7,mo7,NO_MATCH,mo7,AUTOMATIC
tk_mo7_02,mo7,NO_MATCH,mo7,AUTOMATIC
tk_ryou1,ryou1,NO_MATCH,ryou1,AUTOMATIC
tk_ryou3_02,ryou3,NO_MATCH,ryou3,AUTOMATIC
tk_yo1,yo2,NO_MATCH,yo2,AUTOMATIC
tk_yo2,yo2,NO_MATCH,yo2,AUTOMATIC
toketu1a,NO_MATCH,toketu1a,toketu1a,NAEGLES
toketu1b,NO_MATCH,toketu1b,toketu1b,NAEGLES
toketu1c,NO_MATCH,toketu1c,toketu1c,NAEGLES
torakku1,torakku1,NO_MATCH,torakku1,AUTOMATIC
torakku2,torakku2,NO_MATCH,torakku2,AUTOMATIC
torishirabeshitu,bg_171,bg_171,bg_171,IDENTICAL
torishirabeshitu_01,NO_MATCH,NO_MATCH,NO_MATCH,NO_MATCH
tosyo1,tosyo1,tosyo1,tosyo1,IDENTICAL
tosyo1_01,mati3,NO_MATCH,mati3,AUTOMATIC
tosyo2,tosyo2,tosyo2,tosyo2,IDENTICAL
up,NO_MATCH,up,up,NAEGLES
white,NO_MATCH,white,white,NAEGLES
windo_filter,NO_MATCH,windo_filter,windo_filter,NAEGLES
windo_filter_adv,NO_MATCH,…,…,NAEGLES
windo_filter_nvladv,NO_MATCH,…,…,NAEGLES
xta1,ta1_tokyo,NO_MATCH,ta1_tokyo,AUTOMATIC
xta2,ta2_tokyo,NO_MATCH,ta2_tokyo,AUTOMATIC
xta3,ta3,NO_MATCH,ta3,AUTOMATIC
y_damu2,y_damu2,y_damu2,y_damu2,IDENTICAL
y_ie1,bg_242,bg_242,bg_242,IDENTICAL
y_kawa3,bg_247,bg_247,bg_247,IDENTICAL
y_oni1,oni2,bg_259,bg_259,CONTRADICTORY
y_oni1_01,bg_259,bg_259,bg_259,IDENTICAL
yg2,yg2,NO_MATCH,yg2,AUTOMATIC
ygk1,ygk1,NO_MATCH,ygk1,AUTOMATIC
ygk3,ygk2,NO_MATCH,ygk2,AUTOMATIC
yhu2,yhu2,yhu2,yhu2,IDENTICAL
ymo1,ymo1,NO_MATCH,ymo1,AUTOMATIC
ymo1_01,ymo1,ymo1,ymo1,IDENTICAL
ymo2,ymo2,NO_MATCH,ymo2,AUTOMATIC
ymo2_01,mo2,ymo1,ymo1,CONTRADICTORY
ymo3,ymo3,NO_MATCH,ymo3,AUTOMATIC
ymo3_01,ymo3,ymo3,ymo3,IDENTICAL
yugk3_01,gk3,gk3,gk3,IDENTICAL
﻿PS3 Background,NO_MATCH,Match 1,Match 1,NAEGLES
