2,3,mask2
4,mask4
5,mask5
57a_j,58a_j
aa,maskaa
bg_002,damu2
bg_003,bg_003_gr,bg_003_re,damu3
bg_007,jd1
bg_008,jd2
bg_009,jd3
bg_010,jd4
bg_011,denwa
bg_013,eki2
bg_014,je1
bg_015,je2
bg_016,je3
bg_017,je4
bg_019,g2
bg_020,ma_g1
bg_021,ma_g2
bg_022,ma_g3
bg_023,mo_g1
bg_024,mo_g2
bg_027,gr1
bg_028,gr2
bg_034,heya1
bg_035,heya2
bg_037,heya4
bg_038,m_hi1
bg_039,m_hi2
bg_040,m_hi3
bg_041,m_hi4
bg_042,m_hi5
bg_043,m_hi6
bg_044,m_hi7
bg_045,m_hi8
bg_046,m_hi9
bg_047,hi1
bg_048,hi2
bg_049,hi3
bg_050,hi4
bg_051,hi5
bg_053,hi7
bg_054,hi8
bg_055,hi9
bg_056,hoteru
bg_058,ho_r1
bg_059,ho1_houjouke
bg_061,ho2_houjouke
bg_062,hu_r1
bg_066,ie1
bg_067,ie2
bg_068,ima1
bg_069,ima2
bg_070,ima3
bg_072,jansou2
bg_074,ji1
bg_075,ji2,ji2_mono1
bg_076,ji3
bg_077,ji4
bg_078,ji5
bg_080,ma_j1
bg_081,ma_j2
bg_082,tata_jisitu01,tata_jisitu02,tata_jisitu03,ma_j3
bg_083,juku1
bg_084,juku2
bg_086,kawa1
bg_089,bg_089_mo,ke5
bg_091,ke1
bg_093,g1
bg_094,gr3
bg_095,gr4
bg_100,kuruma1
bg_101,kuruma2
bg_102,kuruma3
bg_103,tata_kuruma01,tata_kuruma02,tata_kuruma03,tata_kuruma04,tata_kuruma05,tata_kuruma06,kuruma4
bg_104,kuruma5
bg_105,kuruma6
bg_107,kusa
bg_108,gk1
bg_109,gk2
bg_110,gk3
bg_111,ke_ky1
bg_112,ke_ky2
bg_113,ke_ky3
bg_115,ma_d1
bg_117,ma1
bg_118,ma2
bg_119,ma3
bg_120,ma4
bg_121,ma5
bg_122,moon
bg_123,mati1
bg_124,mati2
bg_125,mati3
bg_126,mati4
bg_127,mati5
bg_128,mati6
bg_129,mati7
bg_131,mati9
bg_132,mati10
bg_133,mati11
bg_134,mati12
bg_141,mo1
bg_142,mo2
bg_143,bg_143_re1,mo3
bg_143_re2,bg_143_re3
bg_144,bg_144_mo1,bg_144_mo2,mo4
bg_145,mo5
bg_146,mura
bg_148,oki_g1
bg_149,oki_g2
bg_150,oki_g3
bg_151,bg_152,jok1,jok2
bg_153,mati_o1
bg_154,mati_o2
bg_155,mati_o3
bg_156,mati_o4
bg_157,mati_o5
bg_158,mati_o6
bg_159,oni1
bg_160,oni2
bg_161,re1
bg_162,re2
bg_163,re3
bg_164,re4
bg_165,re5
bg_166,re6
bg_167,re_d1
bg_168,re_s1_resut
bg_169,re_s2_resut
bg_170,ribing1
bg_172,ke2
bg_175,jsa1
bg_176,jsa2,jsa2_mono1
bg_177,jsa3
bg_178,jsa4
bg_179,jsa5
bg_180,simen1
bg_181,simen2
bg_184,sinryo_matiai1
bg_185,sinryo_matiai2
bg_186,sinryo_sinsatu1
bg_187,sinryo_soto1
bg_188,sinryo_soto2
bg_191,sinryo_soto5
bg_192,ke_s1
bg_193,ke_s2
bg_194,so_d1
bg_195,so_g1
bg_196,so_k1
bg_197,rouka1
bg_198,so1
bg_199,so2
bg_200,so3
bg_203,sora
bg_204,sora2
bg_205,sora3
bg_206,js3
bg_208,sya1
bg_209,sya2
bg_211,g3
bg_213,js2
bg_215,ta2_mura
bg_216,jt1
bg_217,jt2
bg_222,tennai1
bg_223,terebi1
bg_227,tosyo1
bg_228,tosyo2
bg_229,tosyo3
bg_233,tosyo7
bg_234,tosyo8
bg_239,y_damu2
bg_240,yhu1
bg_241,yhu2
bg_243,y_ie2
bg_244,jy1
bg_245,jy2
bg_249,m_y1
bg_250,m_y2
bg_251,m_y3
bg_252,m_y4
bg_253,m_y5
bg_254,m_y6
bg_255,m_y7
bg_256,ymo1
bg_257,ymo2
bg_258,ymo3
bg_261,jysa1
bg_262,jyt1
bg_263,jyt2
black,windo_filter,filter_hanyu
c,maskc
down,maskdown
end_2,end_3
ex_jump,omake_jamp
ex_otsu_wata,ex_otsu_hima
furiker_a,f_a
furiker_b,f_b
gettip_meak005_j,gettip_mina002_j,gettip_minaep_j
gettip_meak013_j,gettip_meak018_j,gettip_meak022_j,gettip_mina008_j
gettip_meak018,gettip_meak022
gettip_mina012,gettip_mina014
gettip_tsum001,gettip_tsum003
gettip_tsum003_j,gettip_tsum023_j
gettip_tsum015,gettip_tsum017
gettip_tsum015_j,gettip_tsum017_j
ha_aua1,ha_defa2,ha_odorokia1
ha_aua1%,ha_odorokia1%
ha_defa1,ha_yowakia1
ha_defa1%,ha_defa2%,ha_waraia1%,ha_yowakia1%
haikei,bg_052,hi6
heya5,sinario_a
ir_hk_de_a1,ir_hk_de_a2,ir_hk_ma_a1,ir_hk_wa_a1,iri_def1+,iri_majime+,iri_def2+,iri_warai+
ir_hk_ma_a2,iri_majime2+
ir_si_de_a1,ir_si_de_a2,ir_si_ma_a1,iri_def1#,iri_def2#,iri_majime#
ir_si_ma_a2,iri_majime2#
ir_si_wa_a1,iri_warai#
ir_yk_de_a1,iri_def1!
ir_yk_de_a2,ir_yk_wa_a1,iri_def2!,iri_majime!,iri_majime2!,iri_warai!
kasa1,kasa2,kasa3
kei_def1,kei_ikari1,kei_ikari2,kei_komaru,kei_nayamu
kei_def1#,kei_ikari1#,kei_majime2#,kei_ikari2#
kei_def2,kei_majime,kei_majime2
kei_def2#,kei_majime#
kei_komaru#,kei_nayamu#
left,maskleft
m1,maskm1
mask_1900,mask1900
me_akuwaraia2$,me_winka2$
me_defa2$,me_tohohoa2$
me_eyex1,me_eyex2
me_hutekia1$,me_tohohoa1$
me_mi_aw_a2,me_mi_fu_a2
me_se_aw_a1,me_se_ma_a1,me_se_th_a1,me_se_wi_a1,me_se_si_a1,me_majimea1,me_winka1,me_akuwaraia1,me_sinmyoua1,me_tohohoa1
me_se_aw_a2,me_se_de_a2,me_se_th_a2,me_se_wi_a2,me_se_fu_a2,me_akuwaraia2,me_defa2,me_tohohoa2,me_winka2
me_se_aw_b1,me_akuwaraib1
me_se_aw_b2,me_se_bi_b2,me_se_fu_b2,me_se_th_b2,me_se_wi_b2,me_winkb2,me_akuwaraib2,me_odorokib2,me_tohohob2
me_se_bi_a1,me_se_de_a1,me_se_fu_a1,me_defa1,me_hutekia1,me_odorokia1
me_se_bi_a2,me_odorokia2
me_se_bi_b1,me_se_de_b1,me_se_fu_b1,me_se_ma_b1,me_se_yw_b1,me_yowakib1,me_defb1,me_majimeb1,me_odorokib1
me_se_de_b2,me_defb2
me_se_him_a1,me_se_to_a1,me_tokuia1
me_se_ik_a1,me_ikaria1
me_se_ik_b2,me_ikarib2
me_se_ma_a2,me_majimea2
me_se_ma_b2,me_majimeb2
me_se_si_b2,me_sinmyoub2
me_se_th_b1,me_tohohob1
me_se_to_a2,me_tokuia2
me_se_to_b1,me_se_ik_b1,me_tokuib1,me_ikarib1
me_se_to_b2,me_tokuib2
me_se_wa_a1,me_waraia1
me_se_wa_a2,me_waraia2
me_se_wa_b1,me_waraib1
me_se_wi_b1,me_winkb1
me_se_yw_a1,me_se_ha_a1,me_haua1,me_yowakia1
me_se_yw_a2,me_se_ik_a2,me_se_si_a2,me_yowakia2,me_ikaria2,me_sinmyoua2
me_se_yw_b2,me_se_wa_b2,me_waraib2,me_yowakib2
me_si_aw_a1,me_si_de_a1,me_si_fu_a1,me_si_ik_a1,me_si_ma_a1,me_si_to_a1,me_si_bi_a1,me_si_ha_a1,me_si_yw_a1,me_akuwaraia1#,me_defa1#,me_haua1#,me_majimea1#,me_odorokia1#,me_tokuia1#,me_yowakia1#,me_hutekia1#
me_si_aw_a2,me_si_th_a2,me_si_wi_a2,me_si_bi_a2,me_si_de_a2,me_si_si_a2,me_si_yw_a2,me_defa2#,me_odorokia2#,me_sinmyoua2#,me_tohohoa2#,me_winka2#,me_yowakia2#,me_akuwaraia2#
me_si_fu_a2,me_si_ik_a2,me_si_ma_a2,me_majimea2#
me_si_him_a1,me_hi_majia1#
me_si_him_a2,me_hi_majia2#
me_si_th_a1,me_tohohoa1#
me_si_to_a2,me_si_wa_a2,me_waraia2#,me_tokuia2#
me_si_wa_a1,me_si_si_a1,me_sinmyoua1#,me_waraia1#
me_si_wi_a1,me_winka1#
me_ta_aw_a1,me_akuwaraia1&
me_ta_aw_a2,me_ta_fu_a2,me_akuwaraia2&,me_ikaria2&
me_ta_de_a1,me_ta_th_a1,me_ta_fu_a1,me_defa1&,me_hutekia1&,me_tohohoa1&
me_ta_de_a2,me_majimea2&,me_tohohoa2&
me_ta_to_a1,me_tokuia1&
me_ta_to_a2,me_ta_wa_a2,me_tokuia2&,me_waraia2&
me_ta_wi_a1,me_odorokia1&,me_winka1&
me_ta_wi_a2,me_winka2&
mea_t2,mea_t2_j
nort,nort_mono1,nort_mono2,nort_mono3,nort_mono4,nort_mono5,nort_mono6
oi_si_de_a1,oi_si_wa_a1,oi_si_aw_a1,oisi1,oisi2,oisi5
oi_si_ma_a1,oi_si_de_a2,oisi4,oisi3
oi_yk_de_a2,oi_yk_ma_a1
oni_re_01,oni_re_02
oni_re_04,oni_re_05,oni_re_06
onik001_j,57a,58a
onik005,onik013
onik010_j,onik014_02_j
re_se_bi_a1,re_bikkuria1
re_se_bi_b1,re_bikkurib1
re_se_de_a1,re_defa1
re_se_de_b1,re_defb1
re_se_ha_a1,re_haua1
re_se_ha_b1,re_se_hi_b1,re_hi_defb1,re_haub1
re_se_hi_a1,re_se_na_a1,re_se_ik_a1,re_hi_defa1,re_nandea1,re_okorua1
re_se_hii_a1,re_hi_okorua1
re_se_him_a1,re_hi_muhyoua1
re_se_ka_a1,re_kaiia1
re_se_ka_b1,re_kaiib1
re_se_ko_a1,re_komarua1
re_se_ko_a2,re_komarua2
re_se_ko_b1,re_komarub1
re_se_ko_b2,re_se_na_b1,re_nandeb1
re_se_wa_a1,re_waraia1
re_se_wa_b1,re_se_ik_b1,re_se_hii_b1,re_okorub1,re_waraib1
re_si_bi_a1,re_si_ha_a1,re_bikkuria1#,re_haua1#
re_si_bi_b1,re_si_ko_b1,re_bikkurib1#,re_komarub1#
re_si_de_a1,re_defa1#
re_si_de_b1,re_defb1#
re_si_ha_b1,re_haub1#
re_si_hi_b1,re_si_ko_b2,re_hi_defb1#
re_si_hii_b1,re_si_him_b1,re_si_ik_b1,re_hi_muhyoub1#,re_hi_okorub1#,re_okorub1#
re_si_him_a1,re_si_hi_a1,re_hi_defa1#,re_hi_muhyoua1#,re_hi_okorua1#
re_si_ka_a1,re_kaiia1#
re_si_ka_b1,re_kaiib1#
re_si_ko_a1,re_komarua1#
re_si_ko_a2,re_si_na_a1,re_nandea1#
re_si_na_b1,re_nandeb1#
re_si_wa_a1,re_waraia1#
re_si_wa_b1,re_waraib1#
re_ta_bi_b1,re_ta_ha_b1,re_bikkurib1&,re_defb1&,re_komarub1&,re_nandeb1&
re_ta_de_a1,re_ta_ko_a2,re_defa1&
re_ta_ha_a1,re_ta_na_a1,re_haua1&
re_ta_ka_a1,re_kaiia1&
re_ta_ka_b1,re_kaiib1&
re_ta_ko_a1,re_komarua1&
re_ta_wa_a1,re_waraia1&
re_ta_wa_b1,re_waraib1&
ri_defa1$,ri_nikoa1$
ri_mk_de_a1,ri_mk_ko_a1,ri_mk_ni_a1,ri_defa1%,ri_komarua1%,ri_nikoa1%
ri_mk_wa_a1,ri_waraia1%
ri_se_de_a1,ri_se_ko_a1,ri_se_ni_a1,ri_se_fu_a1,ri_defa1,ri_komarua1,ri_nikoa1,ri_fumana1,ri_komarua2,ri_majimea1,ri_niyaria1
ri_se_wa_a1,ri_waraia1
ri_si_de_a1,ri_si_ko_a1,ri_si_ni_a1,ri_si_fu_a1,ri_si_ko_a2,ri_si_ny_a1,ri_defa1#,ri_komarua1#,ri_niyaria1#,ri_nikoa1#,ri_fumana1#,ri_komarua2#,ri_majimea1#
ri_si_wa_a1,ri_waraia1#
ri_ta_de_a1,ri_ta_ni_a1,ri_defa1&,ri_nikoa1&
ri_ta_ko_a1,ri_komarua1&
ri_ta_wa_a1,ri_waraia1&
right,maskright
s53,s60
sa_akirerua1-,sa_akuwaraia1-,sa_odorokia1-,sa_waraia1-,sa_yareyarea1-
sa_se_ak_a1,sa_se_aw_a1,sa_se_hn_a1,sa_se_ha_a1,sa_se_ha_a2,sa_akirerua1,sa_hannbesoa1,sa_akuwaraia1,sa_haua1,sa_haua2
sa_se_aw_b1,sa_se_de_b1,sa_akuwaraib1,sa_defb1
sa_se_bi_a1,sa_odorokia1
sa_se_bi_b1,sa_se_hn_b1,sa_se_ak_a2,sa_akirerub1,sa_hannbesob1,sa_odorokib1
sa_se_de_a1,sa_defa1
sa_se_ha_b1,sa_haub1
sa_se_hn_a3,sa_se_sa_a1,sa_hannbesoa3,sa_sakebua1
sa_se_hn_b2,sa_se_ha_b2
sa_se_hn_b3,sa_hannbesob3
sa_se_mu_a1,sa_muhyoua1
sa_se_mu_a2,sa_muhyoua2
sa_se_na_a1,sa_se_wa_a1,sa_nakua1,sa_waraia1
sa_se_na_b1,sa_nakub1
sa_se_sa_b1,sa_muhyoub1,sa_sakebub1,sa_muhyoub2
sa_se_wa_b1,sa_waraib1
sa_se_ya_a1,sa_yareyarea1
sa_se_ya_a2,sa_yareyarea2
sa_se_yah_b1,sa_yareyareb1
sa_se_yah_b2,sa_yareyareb2
sa_si_ak_a1,sa_si_aw_a1,sa_si_de_a1,sa_akirerua1#,sa_muhyoua2#,sa_defa1#,sa_akuwaraia1#
sa_si_ak_a2,sa_si_aw_b1,sa_si_bi_b1,sa_si_hn_b1,sa_odorokib1#,sa_akuwaraib1#,sa_akirerub1#,sa_hannbesob1#
sa_si_bi_a1,sa_si_ha_a1,sa_odorokia1#,sa_haua1#
sa_si_ha_a2,sa_hannbesoa3#
sa_si_ha_b1,sa_haub1#
sa_si_hn_a1,sa_hannbesoa1#
sa_si_wa_a1,sa_waraia1#
sa_si_wa_b1,sa_waraib1#
sa_si_ya_a1,sa_yareyarea1#
sa_ta_ak_a1,sa_ta_de_a1,sa_akirerua1&,sa_defa1&
sa_ta_aw_a1,sa_akuwaraia1&
sa_ta_bi_a1,sa_ta_hn_a1,sa_hannbesoa1&,sa_odorokia1&
sa_ta_wa_a1,sa_waraia1&
sa_to_ak_a1,sa_to_hn_a1
sa_to_bi_a1,sa_to_mu_a2,sa_to_sa_a1
sa_to_ha_a1,sa_to_ya_a1,sa_to_ya_a2
sato_def1,sato_def2,sato_ikari,sato_komaru,sato_komaru2,sato_tukare,sato_warai
sato_def1!,sato_komaru2!,sato_warai!
scenario_a,bg_036,heya3
scenario_b,scenario_b_j,scenario_c
si_akuwaraia1,si_hutekia1,si_odorokia1
si_ma_aw_a1,si_ma_ma_a1,si_ma_wi_a1,si_akuwaraia1$,si_winka1$
si_ma_de_a1,si_defa1$
si_ma_ha_a1,si_ma_yw_a1
si_ma_to_a1,si_ma_wa_a1,si_waraia1$
si_si_aw_a1,si_si_bi_a1,si_si_de_a1,si_si_fu_a1,si_si_ik_a1,si_si_ma_a1,si_si_wi_a1,si_akuwaraia1#,si_defa1#,si_odorokia1#,si_winka1#,si_majimea1#
si_si_aw_b1,si_akuwaraib1#
si_si_bi_b1,si_si_ha_b1,si_odorokib1#
si_si_de_b1,si_si_ma_b1,si_defb1#,si_majimeb1#
si_si_fu_b1,si_si_to_b1,si_tokuib1#
si_si_ha_a1,si_si_yw_a1,si_tohohoa1#,si_yowakia1#
si_si_th_b1,si_tohohob1#
si_si_wa_a1,si_si_to_a1,si_waraia1#,si_tokuia1#
si_si_wa_b1,si_waraib1#
si_si_wi_b1,si_winkb1#
si_tokuia1,si_waraia1
sora6,tumi_t2
t_ep0,are2
t_ep9,t_ep9_j
ta_akuwarai,ta_def
ta_akuwarai#,ta_def#
ta_akuwarai+,ta_def+,ta_warai+
ta_si_aw_a1,ta_si_de_a1
tata009_jp,tata012_jp
tetu1,tetu2,tetu3
ti_si_de_a1,tie1
ti_si_ik_a1,tie2
ti_si_ko_a1,tie3
title_j,title02_j
tm_si_de_a1,tomi_def#
tm_si_ko_a1,tomi_komaru#
tm_si_wa_a1,tomi_warai#
tomi_def,tomi_komaru
up,maskup
white,red,mask1014,mask00,white_mono1,waku_w,white_mono1_6
x,maskx
