ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Me_TohohoA1&,sprite/me3_tohoho_a1_,1,100%,1:sprite/me3_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2,sprite/me1a_tohoho_a1_,2,100%,2:sprite/me1a_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2#,sprite/me2_tohoho_a1_,6,100%,6:sprite/me2_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2$,sprite/me5_tohoho_a1_,1,100%,1:sprite/me5_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2&,sprite/me3_tohoho_a1_,2,100%,2:sprite/me3_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoB1,sprite/me1b_tohoho_a1_,6,100%,6:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoB2,sprite/me1b_tohoho_a1_,4,100%,4:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1,sprite/me1a_tokui_a1_,31,97%,31:sprite/me1a_tokui_a1_,1:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1#,sprite/me2_tokui_a1_,8,100%,8:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1&,sprite/me3_tokui_a1_,5,100%,5:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2,sprite/me1a_tokui_a1_,2,100%,2:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2#,sprite/me2_tokui_a1_,1,100%,1:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2&,sprite/me3_tokui_a1_,1,100%,1:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiB1,sprite/me1b_tokui_a1_,7,100%,7:sprite/me1b_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiB2,sprite/me1b_tokui_a1_,6,100%,6:sprite/me1b_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WAraiA2,sprite/me1a_warai_a1_,1,100%,1:sprite/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WAraiA2$,sprite/me5_warai_a1_,1,100%,1:sprite/me5_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1,sprite/me1a_warai_a1_,39,93%,39:sprite/me1a_warai_a1_,1:sprite/flashback/me2_warai_a1_,1:sprite/me2_warai_a1_,1:sprite/re1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1#,sprite/me2_warai_a1_,12,100%,12:sprite/me2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1$,sprite/me5_warai_a1_,2,100%,2:sprite/me5_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1&,sprite/me3_warai_a1_,3,100%,3:sprite/me3_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA2,sprite/me1a_warai_a1_,1,100%,1:sprite/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA2#,sprite/me2_warai_a1_,8,100%,8:sprite/me2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA2&,sprite/me3_warai_a1_,1,100%,1:sprite/me3_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiB1,sprite/me1b_warai_a1_,11,100%,11:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiB2,sprite/me1b_warai_a1_,6,100%,6:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA1,sprite/me1a_wink_a1_,36,92%,36:sprite/me1a_wink_a1_,1:sprite/me1a_def_a1_,1:sprite/flashback/me2_wink_a1_,1:sprite/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA1#,sprite/me2_wink_a1_,13,100%,13:sprite/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA1$,sprite/me5_wink_a1_,4,100%,4:sprite/me5_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA1&,sprite/me3_wink_a1_,1,100%,1:sprite/me3_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA2,sprite/me1a_wink_a1_,13,87%,13:sprite/me1a_wink_a1_,1:sprite/me1a_tohoho_a1_,1:sprite/me1b_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA2#,sprite/me2_wink_a1_,20,100%,20:sprite/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA2$,sprite/me5_wink_a1_,3,100%,3:sprite/me5_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkA2&,sprite/me3_wink_a1_,3,100%,3:sprite/me3_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkB1,sprite/me1b_wink_a1_,9,90%,9:sprite/me1b_wink_a1_,1:sprite/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WinkB2,sprite/me1b_wink_a1_,23,96%,23:sprite/me1b_wink_a1_,1:sprite/flashback/me1b_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_YowakiA1,sprite/me1a_yowaki_a1_,12,86%,12:sprite/me1a_yowaki_a1_,1:sprite/me1b_yowaki_a1_,1:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Me_YowakiA1#,sprite/me2_yowaki_a1_,5,100%,5:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_YowakiA2,sprite/me1a_yowaki_a1_,1,100%,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_YowakiB1,sprite/me1b_yowaki_a1_,2,67%,2:sprite/me1b_yowaki_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_YowakiB2,sprite/me1b_yowaki_a1_,2,67%,2:sprite/me1b_yowaki_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_Yowakib2,sprite/flashback/me1b_yowaki_a1_,1,100%,1:sprite/flashback/me1b_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_akuwaraiA1,sprite/me1a_akuwarai_a1_,4,100%,4:sprite/me1a_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_akuwaraiA1#,sprite/me2_akuwarai_a1_,1,100%,1:sprite/me2_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_akuwaraiB2,sprite/me1b_akuwarai_a1_,1,100%,1:sprite/me1b_akuwarai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_defA1,sprite/flashback/me2_yowaki_a1_,1,50%,1:sprite/flashback/me2_yowaki_a1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_defB2,sprite/me1b_def_a1_,1,100%,1:sprite/me1b_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeA1,sprite/me1a_majime_a1_,5,100%,5:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeA1#,sprite/me2_majime_a1_,1,100%,1:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeA2,sprite/me1a_majime_a1_,3,100%,3:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeA2#,sprite/me2_majime_a1_,4,100%,4:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeB1,sprite/me1b_majime_a1_,1,100%,1:sprite/me1b_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_majimeB2,sprite/me1b_majime_a1_,2,67%,2:sprite/me1b_majime_a1_,1:sprite/me1a_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_odorokiA1#,sprite/me2_odoroki_a1_,1,100%,1:sprite/me2_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_odorokiB1,sprite/flashback/me1b_odoroki_a1_,1,100%,1:sprite/flashback/me1b_odoroki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tohohoA1,sprite/me1a_tohoho_a1_,3,100%,3:sprite/me1a_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tohohoA1#,sprite/me2_tohoho_a1_,1,100%,1:sprite/me2_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tohohoA2#,sprite/me2_tohoho_a1_,1,100%,1:sprite/me2_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tohohoB1,sprite/me1b_tohoho_a1_,2,100%,2:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tohohoB2,sprite/me1b_tohoho_a1_,2,100%,2:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tokuiA1,sprite/me1a_tokui_a1_,1,100%,1:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_tokuiA2,sprite/me1a_tokui_a1_,1,100%,1:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_waraiA1,sprite/me1a_warai_a1_,3,100%,3:sprite/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_waraiA1#,sprite/me2_warai_a1_,1,100%,1:sprite/me2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_waraiB1,sprite/me1b_warai_a1_,1,100%,1:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_waraiB2,sprite/me1b_warai_a1_,1,100%,1:sprite/me1b_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_winkA1,sprite/me1a_wink_a1_,1,100%,1:sprite/me1a_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_winkA2,sprite/flashback/me2_wink_a1_,1,100%,1:sprite/flashback/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_winkA2#,sprite/me2_wink_a1_,1,100%,1:sprite/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_winkB1,sprite/me1b_wink_a1_,1,100%,1:sprite/me1b_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_winkB2,sprite/flashback/me2_wink_a1_,1,100%,1:sprite/flashback/me2_wink_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_yowakiB1,sprite/me1b_yowaki_a1_,1,100%,1:sprite/me1b_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oisi1,sprite/oisi1_1_,126,99%,126:sprite/oisi1_1_,1:sprite/oisi1_5_,,,,,,,,,,,,,,,,,,,,,,,,,
,Oisi2,sprite/oisi1_2_,138,99%,138:sprite/oisi1_2_,1:sprite/oisi1_3_,1:sprite/oisi1_1_,,,,,,,,,,,,,,,,,,,,,,,,
,Oisi3,sprite/oisi1_3_,15,60%,15:sprite/oisi1_3_,10:sprite/oisi1_5_,,,,,,,,,,,,,,,,,,,,,,,,,
,Oisi4,sprite/oisi1_4_,112,96%,112:sprite/oisi1_4_,2:sprite/oisi1_5_,2:sprite/oisi1_1_,1:sprite/oisi1_2_,,,,,,,,,,,,,,,,,,,,,,,
,Oisi5,sprite/oisi1_5_,20,77%,20:sprite/oisi1_5_,4:sprite/oisi1_1_,2:sprite/oisi1_4_,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_AkuWarai#,sprite/oko_def_,1,100%,1:sprite/oko_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_Akuwarai#,sprite/oko_niyari_,5,31%,5:sprite/oko_niyari_,4:sprite/oko_def_,3:sprite/oko_odoroki_,3:sprite/oko_sakebi_,1:sprite/oko_kumon_,,,,,,,,,,,,,,,,,,,,,,
,Oko_Def,sprite/oko_def_,1,100%,1:sprite/oko_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_Def#,sprite/oko_def_,14,67%,14:sprite/oko_def_,6:sprite/oko_odoroki_,1:sprite/oko_sakebi_,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_Def2#,sprite/oko_def_,3,60%,3:sprite/oko_def_,1:sprite/oko_odoroki_,1:sprite/oko_kumon_,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_Ikari#,sprite/oko_sakebi_,8,89%,8:sprite/oko_sakebi_,1:sprite/me2_majime_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Oko_Warai#,sprite/oko_def_,7,58%,7:sprite/oko_def_,4:sprite/oko_niyari_,1:sprite/oko_kumon_,,,,,,,,,,,,,,,,,,,,,,,,
,RE_DefB1,sprite/re1b_def_b1_,1,100%,1:sprite/re1b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_BikkuriA1,sprite/re1a_bikkuri_a1_,10,77%,10:sprite/re1a_bikkuri_a1_,2:sprite/re2a_bikkuri_a1_,1:sprite/kei1_komaru_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_BikkuriA1#,sprite/re2a_bikkuri_a1_,8,80%,8:sprite/re2a_bikkuri_a1_,1:sprite/re2b_bikkuri_b1_,1:sprite/re2a_nande_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_BikkuriB1,sprite/re1b_bikkuri_b1_,15,65%,15:sprite/re1b_bikkuri_b1_,4:sprite/re2b_bikkuri_b1_,1:sprite/re1a_bikkuri_a1_,1:sprite/re1a_komaru_a2_,1:sprite/flashback/re2b_bikkuri_b1_,1:sprite/re1b_komaru_b2_,,,,,,,,,,,,,,,,,,,,,
,Re_BikkuriB1#,sprite/re2b_bikkuri_b1_,12,80%,12:sprite/re2b_bikkuri_b1_,1:sprite/re2a_hau_a1_,1:sprite/re2a_nande_a1_,1:sprite/re2b_komaru_b2_,,,,,,,,,,,,,,,,,,,,,,,
,Re_BikkuriB1&,sprite/re3b_bikkuri_b1_,1,100%,1:sprite/re3b_bikkuri_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_DefA1,sprite/re1a_def_a1_,57,80%,57:sprite/re1a_def_a1_,9:sprite/re2a_def_a1_,2:sprite/flashback/re2a_def_a1_,1:sprite/kei1_majime_,1:sprite/re1a_komaru_a1_,1:sprite/re1b_nande_b1_,,,,,,,,,,,,,,,,,,,,,
,Re_DefA1#,sprite/re2a_def_a1_,43,96%,43:sprite/re2a_def_a1_,1:sprite/re2a_komaru_a2_,1:sprite/renasen1_warai_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_DefA1&,sprite/re3a_def_a1_,7,100%,7:sprite/re3a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_DefB1,sprite/re1b_def_b1_,36,78%,36:sprite/re1b_def_b1_,4:sprite/re2b_def_b1_,2:sprite/re1a_nande_a1_,1:sprite/re1a_def_a1_,1:sprite/re1a_okoru_a1_,1:sprite/flashback/re2b_def_b1_,1:sprite/me1b_def_a1_,,,,,,,,,,,,,,,,,,,,
,Re_DefB1#,sprite/re2b_def_b1_,37,80%,37:sprite/re2b_def_b1_,3:sprite/re2a_def_a1_,1:sprite/re2a_komaru_a2_,1:sprite/re2a_nande_a1_,1:sprite/renasen2_muhyokaku_,1:sprite/renasen2_warai_,1:sprite/renasen1_warai_,1:sprite/re2b_okoru_b1_,,,,,,,,,,,,,,,,,,,
,Re_DefB1&,sprite/re3b_def_b1_,9,100%,9:sprite/re3b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Defa1#,sprite/re2a_def_a1_,1,100%,1:sprite/re2a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Defb1#,sprite/re2b_def_b1_,1,100%,1:sprite/re2b_def_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_HauA1,sprite/re1a_hau_a1_,16,94%,16:sprite/re1a_hau_a1_,1:sprite/flashback/re2a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_HauA1#,sprite/re2a_hau_a1_,20,100%,20:sprite/re2a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_HauA1&,sprite/re3a_hau_a1_,2,100%,2:sprite/re3a_hau_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_HauB1,sprite/re1b_hau_b1_,4,100%,4:sprite/re1b_hau_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_HauB1#,sprite/re2b_hau_b1_,7,88%,7:sprite/re2b_hau_b1_,1:sprite/re2a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_DefA1,sprite/re2a_hig_def_a1_,1,100%,1:sprite/re2a_hig_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_DefA1#,sprite/re2a_hig_def_a1_,8,53%,8:sprite/re2a_hig_def_a1_,5:sprite/renasen2_muhyokaku_,1:sprite/renasen1_tuukaku_,1:sprite/re2a_hig_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_DefB1#,sprite/re2a_hig_def_a1_,2,29%,2:sprite/re2a_hig_def_a1_,1:sprite/renasen2_muhyokaku_,1:sprite/renasen1_muhyokaku_,1:sprite/re2b_hig_def_b1_,1:sprite/renasen1_warai_,1:sprite/renasen2_tuukaku_,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_MuhyouA1#,sprite/re2a_hig_muhyou_a1_,2,100%,2:sprite/re2a_hig_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_MuhyouB1#,sprite/re2a_hig_muhyou_a1_,1,100%,1:sprite/re2a_hig_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_OkoruA1,sprite/re1a_hig_okoru_a1_,1,100%,1:sprite/re1a_hig_okoru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_OkoruA1#,sprite/re2a_hig_okoru_a1_,5,71%,5:sprite/re2a_hig_okoru_a1_,1:sprite/renasen2_ikakaku_,1:sprite/re2a_komaru_a2_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_OkoruB1#,sprite/re2a_hig_okoru_a1_,4,44%,4:sprite/re2a_hig_okoru_a1_,3:sprite/renasen2_ikakaku_,2:sprite/re2b_hig_okoru_b1_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_muhyouA1#,sprite/re2a_hig_muhyou_a1_,8,89%,8:sprite/re2a_hig_muhyou_a1_,1:sprite/renasen2_muhyokaku_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_Hi_muhyouB1#,sprite/re2b_hig_muhyou_b1_,5,45%,5:sprite/re2b_hig_muhyou_b1_,4:sprite/re2a_hig_muhyou_a1_,1:sprite/renasen1_muhyokaku_,1:sprite/renasen2_muhyokaku_,,,,,,,,,,,,,,,,,,,,,,,
,Re_KaiiA1,sprite/re1a_kaii_a1_,2,100%,2:sprite/re1a_kaii_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KaiiA1#,sprite/re2a_kaii_a1_,6,100%,6:sprite/re2a_kaii_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KaiiB1,sprite/re1b_kaii_b1_,4,80%,4:sprite/re1b_kaii_b1_,1:sprite/flashback/re1b_kaii_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KaiiB1#,sprite/re2b_kaii_b1_,11,100%,11:sprite/re2b_kaii_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KaiiB1&,sprite/re3b_kaii_b1_,2,100%,2:sprite/re3b_kaii_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruA1,sprite/re1a_komaru_a1_,34,89%,34:sprite/re1a_komaru_a1_,2:sprite/re2a_komaru_a1_,1:sprite/re1a_def_a1_,1:sprite/re1a_komaru_a2_,,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruA1#,sprite/re2a_komaru_a1_,21,84%,21:sprite/re2a_komaru_a1_,3:sprite/re2a_komaru_a2_,1:sprite/kei2_komaru_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruA2,sprite/re1a_komaru_a2_,1,100%,1:sprite/re1a_komaru_a2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruB1,sprite/re1b_komaru_b1_,8,53%,8:sprite/re1b_komaru_b1_,3:sprite/re1b_komaru_b2_,2:sprite/re2b_komaru_b1_,1:sprite/re1a_komaru_a1_,1:sprite/re1a_komaru_a2_,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruB1#,sprite/re2b_komaru_b1_,6,60%,6:sprite/re2b_komaru_b1_,2:sprite/re2b_komaru_b2_,1:sprite/re2a_nande_a1_,1:sprite/re2a_komaru_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Re_KomaruB1&,sprite/re3b_komaru_b1_,1,100%,1:sprite/re3b_komaru_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_NandeA1,sprite/re1a_nande_a1_,19,90%,19:sprite/re1a_nande_a1_,1:sprite/flashback/re2a_nande_a1_,1:sprite/re2a_nande_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_NandeA1#,sprite/re2a_nande_a1_,14,93%,14:sprite/re2a_nande_a1_,1:sprite/re2b_nande_b1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_NandeB1,sprite/re1b_nande_b1_,5,100%,5:sprite/re1b_nande_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_NandeB1#,sprite/re2b_nande_b1_,7,100%,7:sprite/re2b_nande_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_NandeB1&,sprite/re3b_nande_b1_,1,100%,1:sprite/re3b_nande_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruA1,sprite/re1a_okoru_a1_,19,86%,19:sprite/re1a_okoru_a1_,2:sprite/re2b_okoru_b1_,1:sprite/kei1_ikari1_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruA1#,sprite/re2b_okoru_b1_,9,64%,9:sprite/re2b_okoru_b1_,5:sprite/re2a_okoru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruA1&,sprite/re3a_okoru_a1_,2,100%,2:sprite/re3a_okoru_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruB1,sprite/re1b_okoru_b1_,15,88%,15:sprite/re1b_okoru_b1_,1:sprite/re2b_okoru_b1_,1:sprite/me1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruB1#,sprite/re2b_okoru_b1_,15,83%,15:sprite/re2b_okoru_b1_,2:sprite/re2a_okoru_a1_,1:sprite/kei2_ikari2_,,,,,,,,,,,,,,,,,,,,,,,,
,Re_OkoruB1&,sprite/re3b_okoru_b1_,2,100%,2:sprite/re3b_okoru_b1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_WaraiA1,sprite/re1a_warai_a1_,42,91%,42:sprite/re1a_warai_a1_,1:sprite/re1a_def_a1_,1:sprite/flashback/re2a_warai_a1_,1:sprite/me1a_warai_a1_,1:sprite/re2a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,
,Re_WaraiA1#,sprite/re2a_warai_a1_,52,98%,52:sprite/re2a_warai_a1_,1:sprite/re2a_hig_muhyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Re_WaraiA1&,sprite/re3a_warai_a1_,5,100%,5:sprite/re3a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
