ps3 sprite file, source image, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match
, re_si_ka_a1, 6, 86%, 6:sprite/normal/re2a_kaii_a1_, 1:sprite/sunset/re2a_kaii_a1_, , , , , , , , , , , 
, re_si_ko_b1, 6, 100%, 6:sprite/normal/re2b_komaru_b1_, , , , , , , , , , , , 
, me_ta_de_a1, 6, 100%, 6:sprite/normal/me3_def_a1_, , , , , , , , , , , , 
, sa_ta_bi_a1, 6, 100%, 6:sprite/normal/sa3_odoroki_a1_, , , , , , , , , , , , 
, me_si_fu_a2, 6, 86%, 6:sprite/normal/me2_huteki_a1_, 1:sprite/normal/me2_akuwarai_a1_, , , , , , , , , , , 
, me_si_bi_a2, 6, 67%, 6:sprite/normal/me2_odoroki_a1_, 2:sprite/sunset/me2_odoroki_a1_, 1:sprite/normal/me2_yowaki_a1_, , , , , , , , , , 
, me_se_wa_b1, 6, 100%, 6:sprite/normal/me1b_warai_a1_, , , , , , , , , , , , 
, re_se_na_b1, 6, 86%, 6:sprite/normal/re1b_nande_b1_, 1:sprite/sunset/re1b_nande_b1_, , , , , , , , , , , 
, ri_si_fu_a1, 5, 62%, 5:sprite/night/rim_majime_, 2:portrait/sunset/rim_majime_, 1:portrait/night/rim_def_, , , , , , , , , , 
, me_se_bi_a1, 5, 28%, 5:sprite/normal/me1a_odoroki_a1_, 2:sprite/normal/ri1_warai_a1_, 2:sprite/normal/si1a_akuwarai_a1_, 1:sprite/normal/re1a_warai_a1_, 1:sprite/normal/ri1_niko_a1_, 1:sprite/normal/re1a_komaru_a1_, 1:sprite/normal/re1b_def_b1_, 1:sprite/normal/ta1_warai_, 1:sprite/normal/tie_3_, 1:sprite/normal/me1a_ikari_a1_, 1:sprite/normal/iri1_majime2_, 1:sprite/normal/me1a_majime_a1_, 
, ta_si_aw_a1, 5, 71%, 5:sprite/night/ta1_akuwarai_, 1:sprite/normal/ta1_akuwarai_, 1:sprite/sunset/ta1_akuwarai_, , , , , , , , , , 
, re_se_ka_a1, 5, 83%, 5:sprite/normal/re1a_kaii_a1_, 1:portrait/normal/re1a_kaii_a1_, , , , , , , , , , , 
, me_se_aw_b1, 5, 100%, 5:sprite/normal/me1b_akuwarai_a1_, , , , , , , , , , , , 
, me_se_fu_a1, 5, 100%, 5:sprite/normal/me1a_huteki_a1_, , , , , , , , , , , , 
, me_ta_wa_a2, 5, 100%, 5:sprite/normal/me3_warai_a1_, , , , , , , , , , , , 
, ri_ta_de_a1, 5, 100%, 5:sprite/normal/ri3_def_a1_, , , , , , , , , , , , 
, re_si_bi_a1, 5, 71%, 5:sprite/normal/re2a_bikkuri_a1_, 1:sprite/night/re2a_bikkuri_a1_, 1:portrait/night/re2a_bikkuri_a1_, , , , , , , , , , 
, re_si_bi_b1, 5, 71%, 5:sprite/normal/re2b_bikkuri_b1_, 2:sprite/night/re2b_bikkuri_b1_, , , , , , , , , , , 
, ri_mk_ko_a1, 5, 83%, 5:sprite/normal/ri5_komaru_a1_, 1:sprite/night/ri5_komaru_a1_, , , , , , , , , , , 
, me_si_aw_a2, 5, 83%, 5:sprite/normal/me2_akuwarai_a1_, 1:sprite/night/me2_akuwarai_a1_, , , , , , , , , , , 
, re_si_ko_a1, 5, 62%, 5:sprite/normal/re2a_komaru_a1_, 1:sprite/night/re2a_komaru_a2_, 1:sprite/normal/re2a_komaru_a2_, 1:portrait/night/re2a_komaru_a1_, , , , , , , , , 
, re_se_hi_a1, 5, 71%, 5:portrait/normal/re1a_hig_def_a1_, 1:sprite/normal/re1a_hig_def_a1_, 1:sprite/flashback/re1a_hig_def_a1_, , , , , , , , , , 
, me_se_wa_b2, 5, 100%, 5:sprite/normal/me1b_warai_a1_, , , , , , , , , , , , 
, me_si_ma_a2, 5, 50%, 5:sprite/normal/me2_majime_a1_, 3:sprite/night/me2_majime_a1_, 1:sprite/sunset/me2_majime_a1_, 1:portrait/normal/me2_majime_a1_, , , , , , , , , 
, ri_si_ko_a1, 4, 31%, 4:portrait/sunset/rim_komaru_, 4:sprite/normal/ri2_komaru_a1_, 3:sprite/sunset/rim_komaru_, 1:portrait/normal/rim_komaru_, 1:portrait/night/rim_komaru_, , , , , , , , 
, oi_si_aw_a1, 4, 100%, 4:sprite/normal/oisi1_5_, , , , , , , , , , , , 
, me_se_ma_a1, 4, 100%, 4:sprite/normal/me1a_majime_a1_, , , , , , , , , , , , 
, sa_se_hn_a1, 4, 80%, 4:sprite/normal/sa1a_hannbeso_a1_, 1:portrait/normal/sa1a_naku_a1_, , , , , , , , , , , 
, sa_se_na_a1, 4, 100%, 4:sprite/normal/sa1a_naku_a1_, , , , , , , , , , , , 
, me_se_to_b2, 4, 100%, 4:sprite/normal/me1b_tokui_a1_, , , , , , , , , , , , 
, sa_se_hn_b2, 4, 100%, 4:sprite/normal/sa1b_hannbeso_b1_, , , , , , , , , , , , 
, me_ta_wi_a1, 4, 100%, 4:sprite/normal/me3_wink_a1_, , , , , , , , , , , , 
, re_ta_ka_b1, 4, 100%, 4:sprite/normal/re3b_kaii_b1_, , , , , , , , , , , , 
, sa_ta_aw_a1, 4, 80%, 4:sprite/normal/sa3_akuwarai_a1_, 1:sprite/night/sa3_akuwarai_a1_, , , , , , , , , , , 
, sa_se_bi_b2, 4, 80%, 4:sprite/normal/sa1b_odoroki_b1_, 1:portrait/normal/sa1b_odoroki_b1_, , , , , , , , , , , 
, ir_hk_de_a1, 3, 50%, 3:sprite/sunset/iri2_def1_, 2:sprite/normal/iri2_def1_, 1:portrait/normal/iri2_def1_, , , , , , , , , , 
, ir_hk_de_a2, 3, 100%, 3:sprite/sunset/iri2_def2_, , , , , , , , , , , , 
, re_se_ik_b1, 3, 25%, 3:sprite/normal/re1b_okoru_b1_, 2:sprite/normal/re1a_warai_a1_, 1:sprite/normal/me1b_tohoho_a1_, 1:sprite/normal/sa1b_odoroki_b1_, 1:sprite/normal/sa1a_hannbeso_a1_, 1:sprite/normal/tomi1_komaru_, 1:sprite/normal/iri1_warai_, 1:sprite/normal/me1b_odoroki_a1_, 1:sprite/normal/re1a_okoru_a1_, , , , 
, sa_se_na_b1, 3, 60%, 3:sprite/normal/sa1b_naku_b1_, 2:portrait/normal/sa1b_naku_b1_, , , , , , , , , , , 
, me_se_to_b1, 3, 100%, 3:sprite/normal/me1b_tokui_a1_, , , , , , , , , , , , 
, sa_ta_de_a1, 3, 100%, 3:sprite/normal/sa3_def_a1_, , , , , , , , , , , , 
, ri_ta_ni_a1, 3, 100%, 3:sprite/normal/ri3_niko_a1_, , , , , , , , , , , , 
, re_ta_wa_a1, 3, 100%, 3:sprite/normal/re3a_warai_a1_, , , , , , , , , , , , 
, re_ta_bi_b1, 3, 75%, 3:sprite/normal/re3b_bikkuri_b1_, 1:sprite/night/re3b_bikkuri_b1_, , , , , , , , , , , 
, re_ta_ha_a1, 3, 75%, 3:sprite/normal/re3a_hau_a1_, 1:sprite/night/re3a_hau_a1_, , , , , , , , , , , 
, me_se_to_a2, 3, 100%, 3:sprite/normal/me1a_tokui_a1_, , , , , , , , , , , , 
, re_ta_ha_b1, 3, 100%, 3:sprite/normal/re3b_hau_b1_, , , , , , , , , , , , 
, me_mi_aw_a1, 3, 100%, 3:sprite/normal/me4_akuwarai_a1_, , , , , , , , , , , , 
, sa_ku_bi_a1, 3, 75%, 3:sprite/normal/sa4_odoroki_a1_, 1:sprite/normal/sa4_akuwarai_a1_, , , , , , , , , , , 
, ri_nk_ko_a1, 3, 100%, 3:sprite/normal/ri4_komaru_a1_, , , , , , , , , , , , 
, oi_si_ma_a1, 3, 100%, 3:sprite/normal/oisi1_3_, , , , , , , , , , , , 
, me_se_bi_b2, 3, 100%, 3:sprite/normal/me1b_odoroki_a1_, , , , , , , , , , , , 
, me_se_bi_b1, 3, 100%, 3:sprite/normal/me1b_odoroki_a1_, , , , , , , , , , , , 
, me_se_th_b2, 3, 75%, 3:sprite/normal/me1b_tohoho_a1_, 1:sprite/normal/me1a_yowaki_a1_, , , , , , , , , , , 
, me_se_bi_a2, 3, 100%, 3:sprite/normal/me1a_odoroki_a1_, , , , , , , , , , , , 
, si_si_de_b1, 3, 30%, 3:sprite/night/si1b_def_b1_, 2:sprite/normal/si1a_def_a1_, 2:sprite/night/si1a_def_a1_, 2:sprite/sunset/si1b_def_b1_, 1:portrait/night/si1b_def_b1_, , , , , , , , 
, si_si_ma_a1, 3, 50%, 3:sprite/sunset/si1a_majime_a1_, 2:sprite/night/si1a_majime_a1_, 1:sprite/normal/si1a_majime_a1_, , , , , , , , , , 
, si_si_wa_b1, 3, 38%, 3:sprite/night/si1b_warai_b1_, 2:sprite/sunset/si1b_warai_b1_, 1:sprite/normal/si1a_warai_a1_, 1:sprite/night/si1a_warai_a1_, 1:sprite/normal/si1b_warai_b1_, , , , , , , , 
, si_si_bi_a1, 3, 60%, 3:sprite/night/si1a_odoroki_a1_, 1:portrait/night/si1a_odoroki_a1_, 1:sprite/night/si1a_majime_a1_, , , , , , , , , , 
, me_si_bi_a1, 3, 75%, 3:sprite/normal/me2_odoroki_a1_, 1:sprite/sunset/me2_odoroki_a1_, , , , , , , , , , , 
, re_se_ik_a1, 3, 100%, 3:sprite/normal/re1a_okoru_a1_, , , , , , , , , , , , 
, me_si_si_a2, 3, 43%, 3:sprite/normal/me2_sinmyou_a1_, 1:sprite/normal/me2_hau_a1_, 1:sprite/normal/me2_huteki_a1_, 1:sprite/normal/me2_def_a1_, 1:portrait/night/me2_sinmyou_a1_, , , , , , , , 
, ir_hk_ma_a1, 2, 50%, 2:sprite/normal/iri2_majime_, 1:portrait/normal/iri2_majime_, 1:sprite/sunset/iri2_majime_, , , , , , , , , , 
, me_se_ik_a2, 2, 18%, 2:sprite/normal/me1a_ikari_a1_, 1:sprite/normal/sa1a_hannbeso_a1_, 1:sprite/normal/sa1b_naku_b1_, 1:sprite/normal/re1b_def_b1_, 1:sprite/normal/me1a_warai_a1_, 1:sprite/normal/re1a_warai_a1_, 1:sprite/normal/me1b_warai_a1_, 1:sprite/normal/re1a_nande_a1_, 1:sprite/normal/re1b_bikkuri_b1_, 1:sprite/normal/me1b_odoroki_a1_, , , 
, si_si_fu_a1, 2, 12%, 2:sprite/normal/sa1b_odoroki_b1_, 2:sprite/normal/ri1_warai_a1_, 2:sprite/normal/si1a_wink_a1_, 2:sprite/normal/si1a_huteki_a1_, 1:sprite/normal/ri1_komaru_a1_, 1:sprite/normal/re1a_komaru_a1_, 1:sprite/normal/ri1_niko_a1_, 1:sprite/normal/re1a_def_a1_, 1:sprite/normal/sa1a_akuwarai_a1_, 1:sprite/normal/si1b_warai_b1_, 1:sprite/normal/si1b_akuwarai_b1_, 1:sprite/normal/si1a_warai_a1_, 
, ti_si_ko_a1, 2, 50%, 2:sprite/normal/tomi1_warai_, 1:sprite/normal/si1b_akuwarai_b1_, 1:sprite/normal/tie_3_, , , , , , , , , , 
, me_se_ma_b1, 2, 100%, 2:sprite/normal/me1b_majime_a1_, , , , , , , , , , , , 
, sa_ta_wa_a1, 2, 100%, 2:sprite/normal/sa3_warai_a1_, , , , , , , , , , , , 
, re_ta_na_a1, 2, 67%, 2:sprite/normal/re3a_nande_a1_, 1:sprite/night/re3a_nande_a1_, , , , , , , , , , , 
, me_ta_aw_a1, 2, 100%, 2:sprite/normal/me3_akuwarai_a1_, , , , , , , , , , , , 
, sa_ta_hn_a1, 2, 100%, 2:sprite/normal/sa3_hannbeso_a1_, , , , , , , , , , , , 
, me_ta_aw_a2, 2, 67%, 2:sprite/normal/me3_akuwarai_a1_, 1:sprite/night/me3_akuwarai_a1_, , , , , , , , , , , 
, sa_ta_ak_a1, 2, 100%, 2:sprite/normal/sa3_akireru_a1_, , , , , , , , , , , , 
, ri_ta_wa_a1, 2, 67%, 2:sprite/normal/ri3_warai_a1_, 1:sprite/night/ri3_warai_a1_, , , , , , , , , , , 
, re_ta_bi_a1, 2, 67%, 2:sprite/normal/re3a_bikkuri_a1_, 1:sprite/night/re3a_bikkuri_a1_, , , , , , , , , , , 
, me_ta_th_a1, 2, 100%, 2:sprite/normal/me3_tohoho_a1_, , , , , , , , , , , , 
, me_ta_to_a2, 2, 100%, 2:sprite/normal/me3_tokui_a1_, , , , , , , , , , , , 
, re_ta_ka_a1, 2, 100%, 2:sprite/normal/re3a_kaii_a1_, , , , , , , , , , , , 
, re_se_him_a1, 2, 100%, 2:sprite/normal/re1a_hig_muhyou_a1_, , , , , , , , , , , , 
, re_si_ko_a2, 2, 67%, 2:sprite/night/re2a_komaru_a2_, 1:sprite/night/re2a_okoru_a1_, , , , , , , , , , , 
, me_se_yw_a1, 2, 100%, 2:sprite/normal/me1a_yowaki_a1_, , , , , , , , , , , , 
, me_se_yw_b2, 2, 100%, 2:sprite/normal/me1b_yowaki_a1_, , , , , , , , , , , , 
, me_se_fu_a2, 2, 100%, 2:sprite/normal/me1a_huteki_a1_, , , , , , , , , , , , 
, si_ma_aw_a1, 2, 100%, 2:sprite/normal/si2_akuwarai_a1_, , , , , , , , , , , , 
, si_si_ha_a1, 2, 50%, 2:sprite/sunset/si1a_hau_a1_, 1:sprite/normal/si1a_hau_a1_, 1:sprite/night/si1a_hau_a1_, , , , , , , , , , 
, si_si_aw_b1, 2, 40%, 2:sprite/sunset/si1b_akuwarai_b1_, 1:sprite/normal/si1a_wink_a1_, 1:sprite/normal/si1b_akuwarai_b1_, 1:sprite/night/si1b_akuwarai_b1_, , , , , , , , , 
, me_se_ha_a1, 2, 100%, 2:sprite/normal/me1a_hau_a1_, , , , , , , , , , , , 
, si_si_yw_a1, 2, 100%, 2:sprite/night/si1a_yowaki_a1_, , , , , , , , , , , , 
, me_se_ma_b2, 2, 100%, 2:sprite/normal/me1b_majime_a1_, , , , , , , , , , , , 
, re_si_ik_b1, 2, 100%, 2:sprite/night/re2b_okoru_b1_, , , , , , , , , , , , 
, ri_si_ny_a1, 1, 33%, 1:portrait/sunset/rim_niyari_, 1:portrait/normal/rim_niyari_, 1:sprite/night/rim_niyari_, , , , , , , , , , 
, ir_hk_ma_a2, 1, 100%, 1:sprite/normal/iri2_majime2_, , , , , , , , , , , , 
, ri_se_fu_a1, 1, 100%, 1:sprite/normal/rim_majime_, , , , , , , , , , , , 
, Furiker_b, 1, 50%, 1:sprite/normal/oisi1_5_, 1:sprite/normal/tie_2_, , , , , , , , , , , 
, ri_si_ko_a2, 1, 100%, 1:portrait/night/rim_majime_, , , , , , , , , , , , 
, oi_yk_ma_a1, 1, 100%, 1:sprite/normal/oisi2_8_, , , , , , , , , , , , 
, ir_hk_wa_a1, 1, 100%, 1:sprite/sunset/iri2_warai_, , , , , , , , , , , , 
, si_si_to_a1, 1, 100%, 1:sprite/normal/si1a_tokui_a1_, , , , , , , , , , , , 
, ir_si_de_a1, 1, 100%, 1:sprite/normal/iri1_def1_, , , , , , , , , , , , 
, ti_si_ik_a1, 1, 25%, 1:sprite/normal/me1a_odoroki_a1_, 1:sprite/normal/si1b_akuwarai_b1_, 1:sprite/normal/me1a_tohoho_a1_, 1:sprite/normal/tie_2_, , , , , , , , , 
, ir_si_de_a2, 1, 100%, 1:sprite/normal/iri1_def2_, , , , , , , , , , , , 
, cinema, 1, 100%, 1:sprite/normal/re1a_warai_a1_, , , , , , , , , , , , 
, sa_si_hn_a1, 1, 100%, 1:sprite/normal/sa2a_hannbeso_a1_, , , , , , , , , , , , 
, me_se_aw_a2, 1, 50%, 1:sprite/normal/me1b_huteki_a1_, 1:sprite/normal/me1a_akuwarai_a1_, , , , , , , , , , , 
, me_ta_to_a1, 1, 100%, 1:sprite/normal/me3_tokui_a1_, , , , , , , , , , , , 
, me_ta_fu_a2, 1, 100%, 1:sprite/normal/me3_huteki_a1_, , , , , , , , , , , , 
, re_ta_wa_b1, 1, 50%, 1:sprite/normal/re3b_warai_b1_, 1:sprite/night/re3b_warai_b1_, , , , , , , , , , , 
, re_ta_ko_a1, 1, 100%, 1:sprite/normal/re3a_komaru_a1_, , , , , , , , , , , , 
, re_ta_ko_a2, 1, 100%, 1:sprite/normal/re3a_komaru_a2_, , , , , , , , , , , , 
, me_se_fu_b2, 1, 50%, 1:sprite/normal/me1b_ikari_a1_, 1:sprite/normal/me1b_huteki_a1_, , , , , , , , , , , 
, me_mi_wi_a1, 1, 100%, 1:sprite/normal/me4_wink_a1_, , , , , , , , , , , , 
, sa_ku_aw_a1, 1, 100%, 1:sprite/normal/sa4_akuwarai_a1_, , , , , , , , , , , , 
, sa_ku_wa_a1, 1, 100%, 1:sprite/normal/sa4_warai_a1_, , , , , , , , , , , , 
, me_mi_wi_a2, 1, 100%, 1:sprite/normal/me4_wink_a1_, , , , , , , , , , , , 
, me_mi_fu_a2, 1, 100%, 1:sprite/normal/me4_huteki_a1_, , , , , , , , , , , , 
, sa_se_hn_b1, 1, 100%, 1:sprite/normal/sa1b_hannbeso_b1_, , , , , , , , , , , , 
, me_si_him_a1, 1, 100%, 1:sprite/normal/me2_hig_maji_a1_, , , , , , , , , , , , 
, re_si_him_a1, 1, 100%, 1:sprite/normal/re2a_hig_muhyou_a1_, , , , , , , , , , , , 
, re_si_hi_a1, 1, 100%, 1:sprite/normal/re2a_hig_def_a1_, , , , , , , , , , , , 
, me_se_him_a1, 1, 50%, 1:sprite/normal/me2_hig_maji_a1_, 1:sprite/normal/me1a_hig_maji_a1_, , , , , , , , , , , 
, re_si_him_b1, 1, 100%, 1:sprite/night/re2b_hig_muhyou_b1_, , , , , , , , , , , , 
, me_se_ma_a2, 1, 100%, 1:sprite/normal/me1a_majime_a1_, , , , , , , , , , , , 
, me_se_ik_a1, 1, 100%, 1:sprite/normal/me1a_ikari_a1_, , , , , , , , , , , , 
, me_se_yw_a2, 1, 100%, 1:sprite/normal/me1a_yowaki_a1_, , , , , , , , , , , , 
, re_se_hi_b1, 1, 100%, 1:portrait/normal/re1a_hig_def_a1_, , , , , , , , , , , , 
, re_se_hii_a1, 1, 100%, 1:portrait/normal/re1a_hig_okoru_a1_, , , , , , , , , , , , 
, re_se_ko_b2, 1, 100%, 1:sprite/normal/re1b_komaru_b2_, , , , , , , , , , , , 
, me_si_him_a2, 1, 100%, 1:portrait/normal/me2_hig_maji_a1_, , , , , , , , , , , , 
, sa_se_de_b1, 1, 50%, 1:sprite/normal/sa1b_def_b1_, 1:portrait/normal/sa1a_def_a1_, , , , , , , , , , , 
, sa_si_na_a1, 1, 100%, 1:sprite/normal/sa2a_naku_a1_, , , , , , , , , , , , 
, me_se_fu_b1, 1, 100%, 1:sprite/normal/me1b_huteki_a1_, , , , , , , , , , , , 
, sa_se_na_b2, 1, 100%, 1:sprite/normal/sa1b_odoroki_b1_, , , , , , , , , , , , 
, sa_se_ak_a2, 1, 100%, 1:sprite/normal/sa1b_akireru_b1_, , , , , , , , , , , , 
, si_si_bi_b1, 1, 50%, 1:sprite/sunset/si1a_odoroki_a1_, 1:portrait/night/si1a_odoroki_a1_, , , , , , , , , , , 
, si_si_ha_b1, 1, 50%, 1:sprite/sunset/si1a_hau_a1_, 1:sprite/night/si1b_hau_b1_, , , , , , , , , , , 
, ri_ta_ko_a1, 1, 100%, 1:sprite/normal/ri3_komaru_a1_, , , , , , , , , , , , 
, me_ta_de_a2, 1, 100%, 1:sprite/normal/me3_def_a1_, , , , , , , , , , , , 
, me_ta_fu_a1, 1, 100%, 1:sprite/normal/me3_huteki_a1_, , , , , , , , , , , , 
, si_ma_to_a1, 1, 100%, 1:sprite/normal/si2_tokui_a1_, , , , , , , , , , , , 
, re_si_na_b1, 1, 50%, 1:sprite/normal/re2b_nande_b1_, 1:sprite/night/re2b_nande_b1_, , , , , , , , , , , 
, si_si_to_b1, 1, 100%, 1:sprite/night/si1b_tokui_b1_, , , , , , , , , , , , 
, wata_rena01, 1, 100%, 1:sprite/sunset/re1b_warai_b1_, , , , , , , , , , , , 
, me_si_ha_a1, 1, 50%, 1:sprite/sunset/me2_hau_a1_, 1:portrait/normal/me2_hau_a1_, , , , , , , , , , , 
, si_si_ik_a1, 1, 100%, 1:sprite/night/si1a_ikari_a1_, , , , , , , , , , , , 
, re_si_ko_b2, 1, 100%, 1:sprite/night/re2b_komaru_b2_, , , , , , , , , , , , 
, me_si_yw_a1, 1, 50%, 1:sprite/night/me2_yowaki_a1_, 1:portrait/night/me2_yowaki_a1_, , , , , , , , , , , 
, me_si_ik_a2, 1, 100%, 1:sprite/night/me2_ikari_a1_, , , , , , , , , , , , 